publisher, name, group, type, subtype, rating,installed, notes
AIR Music Technology GmbH,Loom v2,AIR Super Synth Pack ,Synthesizer,Additive,1,y,
AIR Music Technology GmbH,theRiser,AIR Super Synth Pack ,Synthesizer,Niche,1,y,
AIR Music Technology GmbH,Vacuum Pro,AIR Super Synth Pack ,Synthesizer,Analogue,0,,
AIR Music Technology GmbH,Xpand!2,,Sampler,Rompler,1,y,
Eventide,EQuivocate,,Equaliser,Mel-scale,1,y,
Eventide,UltraChannel,,Channel Strip,n/a,0,,
Eventide,UltraReverb,,Reverb,Algorithmic,1,y,
"iZotope, Inc.",iZotope Insight 2 (tm),iZotope Insight 2 (tm),,,,,
"iZotope, Inc.",iZotope Nectar 3 Plugin Advanced (tm),iZotope Nectar 3 Plus (tm),,,,,
"iZotope, Inc.",iZotope Neoverb (tm),iZotope Music Production Suite 5.1 (tm),,,,,
"iZotope, Inc.",iZotope Neutron 4 Compressor (tm),iZotope Neutron 4 (tm),,,,,
"iZotope, Inc.",iZotope Neutron 4 EQ (tm),iZotope Neutron 4 (tm),,,,,
"iZotope, Inc.",iZotope Neutron 4 Exciter (tm),iZotope Neutron 4 (tm),,,,,
"iZotope, Inc.",iZotope Neutron 4 Gate (tm),iZotope Neutron 4 (tm),,,,,
"iZotope, Inc.",iZotope Neutron 4 Mothership Advanced (tm),iZotope Neutron 4 (tm),,,,,
"iZotope, Inc.",iZotope Neutron 4 Sculptor (tm),iZotope Neutron 4 (tm),,,,,
"iZotope, Inc.",iZotope Neutron 4 Transient Shaper (tm),iZotope Neutron 4 (tm),,,,,
"iZotope, Inc.",iZotope Neutron 4 Unmask (tm),iZotope Neutron 4 (tm),,,,,
"iZotope, Inc.",iZotope Neutron 4 Visual Mixer Advanced (tm),iZotope Neutron 4 (tm),,,,,
"iZotope, Inc.",iZotope Ozone 10 Dynamic EQ (tm),iZotope Ozone 10 Advanced (tm),,,,,
"iZotope, Inc.",iZotope Ozone 10 Dynamics (tm),iZotope Ozone 10 Advanced (tm),,,,,
"iZotope, Inc.",iZotope Ozone 10 EQ (tm),iZotope Ozone 10 Advanced (tm),,,,,
"iZotope, Inc.",iZotope Ozone 10 Exciter (tm),iZotope Ozone 10 Advanced (tm),,,,,
"iZotope, Inc.",iZotope Ozone 10 Imager (tm),iZotope Ozone 10 Advanced (tm),,,,,
"iZotope, Inc.",iZotope Ozone 10 Impact (tm),iZotope Ozone 10 Advanced (tm),,,,,
"iZotope, Inc.",iZotope Ozone 10 Low End Focus (tm),iZotope Ozone 10 Advanced (tm),,,,,
"iZotope, Inc.",iZotope Ozone 10 Master Rebalance (tm),iZotope Ozone 10 Advanced (tm),,,,,
"iZotope, Inc.",iZotope Ozone 10 Match Equalizer (tm),iZotope Ozone 10 Advanced (tm),,,,,
"iZotope, Inc.",iZotope Ozone 10 Maximizer (tm),iZotope Ozone 10 Advanced (tm),,,,,
"iZotope, Inc.",iZotope Ozone 10 Mothership Advanced (tm),iZotope Ozone 10 Advanced (tm),,,,,
"iZotope, Inc.",iZotope Ozone 10 Spectral Shaper (tm),iZotope Ozone 10 Advanced (tm),,,,,
"iZotope, Inc.",iZotope Ozone 10 Stabilizer (tm),iZotope Ozone 10 Advanced (tm),,,,,
"iZotope, Inc.",iZotope Ozone 10 Vintage Compressor (tm),iZotope Ozone 10 Advanced (tm),,,,,
"iZotope, Inc.",iZotope Ozone 10 Vintage EQ (tm),iZotope Ozone 10 Advanced (tm),,,,,
"iZotope, Inc.",iZotope Ozone 10 Vintage Limiter (tm),iZotope Ozone 10 Advanced (tm),,,,,
"iZotope, Inc.",iZotope Ozone 10 Vintage Tape (tm),iZotope Ozone 10 Advanced (tm),,,,,
"iZotope, Inc.",iZotope Relay (tm),iZotope Ozone 10 Advanced (tm),,,,,
"iZotope, Inc.",iZotope Relay (tm),iZotope Ozone 10 Advanced (tm),,,,,
"iZotope, Inc.",iZotope Relay (tm),iZotope Ozone 10 Advanced (tm),,,,,
"iZotope, Inc.",iZotope Relay (tm),iZotope Ozone 10 Advanced (tm),,,,,
"iZotope, Inc.",iZotope Relay (tm),iZotope Ozone 10 Advanced (tm),,,,,
"iZotope, Inc.",iZotope RX 10 Application (tm),iZotope RX 10 Standard (tm),,,,,
"iZotope, Inc.",iZotope RX 10 Breath Control (tm),iZotope RX 10 Standard (tm),,,,,
"iZotope, Inc.",iZotope RX 10 Connect (tm),iZotope RX 10 Standard (tm),,,,,
"iZotope, Inc.",iZotope RX 10 De-click (tm),iZotope RX 10 Standard (tm),,,,,
"iZotope, Inc.",iZotope RX 10 De-clip (tm),iZotope RX 10 Standard (tm),,,,,
"iZotope, Inc.",iZotope RX 10 De-crackle (tm),iZotope RX 10 Standard (tm),,,,,
"iZotope, Inc.",iZotope RX 10 De-ess (tm),iZotope RX 10 Standard (tm),,,,,
"iZotope, Inc.",iZotope RX 10 De-hum (tm),iZotope RX 10 Standard (tm),,,,,
"iZotope, Inc.",iZotope RX 10 De-plosive (tm),iZotope RX 10 Standard (tm),,,,,
"iZotope, Inc.",iZotope RX 10 De-reverb (tm),iZotope RX 10 Standard (tm),,,,,
"iZotope, Inc.",iZotope RX 10 Guitar De-noise (tm),iZotope RX 10 Standard (tm),,,,,
